"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g123",0,NA,NA,NA,NA,NA
"g124",110.592724758355,-4.8119489691742,0.828671552329753,-5.80682292718476,6.36694093024201e-09,4.2799991808849e-07
"g125",0,NA,NA,NA,NA,NA
"g126",3.90349359557141,1.43834319485507,1.3430723558895,1.07093500104279,0.284198656680804,0.459323741652412
"g127",0,NA,NA,NA,NA,NA
"g128",0,NA,NA,NA,NA,NA
"g129",0,NA,NA,NA,NA,NA
"g130",262.40968186785,5.4707639959071,0.780603861575484,7.00837424102094,2.41103193905462e-12,4.86224774376015e-10
"g131",0,NA,NA,NA,NA,NA
"g132",74.6570310514972,0.575081957674589,0.689152181234245,0.834477454086613,0.404011987037466,0.576479368296384
"g133",544.112426683252,0.123686218477296,0.651125577846275,0.189957548413952,0.849342396234355,0.913990487477292
"g134",3795.88542541542,0.956325360789196,0.646155079611297,1.48002451882679,0.138866703431175,0.295132396636513
"g135",147.75357683379,0.810314405751146,0.668723302308964,1.21173346727009,0.225614423727759,0.399885082688815
"g136",1535.04744726316,1.14642468406268,0.64768901648841,1.77002335206837,0.0767232506697862,0.199558905389083
"g137",0,NA,NA,NA,NA,NA
"g138",705.353995367561,0.980379716133583,0.650385598918904,1.50738226332688,0.131712702435592,0.284255118811652
"g139",0.526063560553707,-2.58929567907527,2.58075382973868,-1.00330982724433,0.315711396044123,0.493979468810417
"g140",2.10425424221483,-4.5892881797993,2.258163564981,-2.03230990481326,0.0421222923781135,0.12956560543054
"g141",3189.28637977369,0.29638256729216,0.64622053015776,0.458639974220262,0.646492725720287,0.778622625867498
"g142",3.90349359557141,1.43834319485507,1.3430723558895,1.07093500104279,0.284198656680804,0.459323741652412
"g143",14.3076681871297,4.71135100588225,1.60292706644182,2.93921732592644,0.00329042263545948,0.020522739118072
